Temporal_Rep,State,Plant_ID,Cluster_ID,Treatment,Movement,Fertilization,Host_Variation,Host_Species,ILN,LLL,FPLD_1,FPLD_2,FPLD_3,FPLD_4,FPLD_5,FPLD_6,FPLD_7,Total_FPLD,Mean_PLD,FSN,FSL,ISMM,ISM,FSMM,FSM,RGR,Notes
3,FL,S79,S79,MN_FY_HN,N,Y,N,K,5,12,1,3,0.0,0.0,NA,NA,NA,4,0.8,1,S,NA,0.06699,NA,0.22341,0.6022326469,NA
3,FL,S80,S80,MN_FY_HN,N,Y,N,K,5,10.8,2,5,8.0,0.0,0.0,NA,NA,15,3,0,S,NA,0.1047,NA,0.55321,0.8323192792,NA
3,FL,S81,S81,MN_FY_HN,N,Y,N,K,6,7.8,0,0,0.0,0.0,0.0,NA,NA,0,0,1,S,NA,0.10611,NA,0.11822,0.05403550176,NA
3,FL,S82,S82,MN_FY_HN,N,Y,N,K,4,9.1,0,2,7.0,0.0,20.0,NA,NA,29,7.25,0,S,NA,0.1152,NA,0.23111,0.3481120197,NA
3,FL,S83,S83,MN_FY_HN,N,Y,N,K,6,8.4,15,6,0.0,1.0,1.0,NA,NA,23,3.833333333,1,S,NA,0.09183,NA,0.44567,0.7898198631,NA
3,FL,S84,S84,MN_FY_HN,N,Y,N,K,6,8.5,35,1,2.0,14.0,1.0,0.0,NA,53,8.833333333,0,S,NA,0.11645,NA,0.144211,0.1069077543,NA
3,FL,S85,S85,MN_FY_HN,N,Y,N,K,6,8.8,35,0,0.0,0.0,0.0,0.0,NA,35,5.833333333,1,S,NA,0.10729,NA,0.22154,0.3625338557,NA
3,FL,S86,S86,MN_FY_HN,N,Y,N,K,7,9.2,27,0,0.0,0.0,0.0,NA,NA,27,3.857142857,0,S,NA,0.5531,NA,0.11331,-0.7927056958,NA
3,FL,S87,S87,MN_FY_HN,N,Y,N,K,6,5.75,27,0,18.0,0.0,0.0,NA,NA,45,7.5,1,S,NA,0.55321,NA,0.23451,-0.4291197227,NA
3,FL,S88,S88,MN_FY_HN,N,Y,N,K,8,5.58,80,0,1.0,0.0,2.0,NA,NA,83,10.375,0,S,NA,0.55321,NA,0.44213,-0.1120668599,NA
3,FL,S89,S89,MN_FY_HN,N,Y,N,K,7,7.5,8,0,0.0,NA,0.0,NA,NA,8,1.142857143,1,S,NA,0.53211,NA,0.13566,-0.6833492397,NA
3,FL,S90,S90,MN_FY_HN,N,Y,N,K,4,6,6,0,0.0,12.0,8.0,NA,NA,26,6.5,0,S,NA,0.55321,NA,0.14418,-0.6723375786,NA
3,FL,S91,S91_S96,MY_FN_HN,Y,N,N,K,5,5.5,15,0,5.0,8.0,0.0,NA,NA,28,5.6,1,S,0.1749,0.02915,0.2479,0.04131666667,0.1744055285,NA
3,FL,S92,S91_S96,MY_FN_HN,Y,N,N,K,5,6.3,17,1,6.0,NA,0.0,NA,NA,24,4.8,0,S,0.1749,0.02915,0.2479,0.04131666667,0.1744055285,NA
3,FL,S93,S91_S96,MY_FN_HN,Y,N,N,K,5,6.4,19,0,16.0,0.0,0.0,NA,NA,35,7,1,S,0.1749,0.02915,0.2479,0.04131666667,0.1744055285,NA
3,FL,S94,S91_S96,MY_FN_HN,Y,N,N,K,5,5.8,2,0,7.0,0.0,0.0,NA,NA,9,1.8,0,S,0.1749,0.02915,0.2479,0.04131666667,0.1744055285,NA
3,FL,S95,S91_S96,MY_FN_HN,Y,N,N,K,5,5.85,18,0,6.0,0.0,0.0,NA,NA,24,4.8,1,S,0.1749,0.02915,0.2479,0.04131666667,0.1744055285,NA
3,FL,S96,S91_S96,MY_FN_HN,Y,N,N,K,6,6.2,13,0,15.0,0.0,0.0,NA,NA,28,4.666666667,0,S,0.1749,0.02915,0.2479,0.04131666667,0.1744055285,NA
3,FL,S97,S97_S102,MY_FN_HN,Y,N,N,K,4,6.9,20,0,26.0,2.0,0.0,0.0,NA,48,12,1,S,0.1541,0.02568333333,0.2876,0.04793333333,0.3119844418,NA
3,FL,S98,S97_S102,MY_FN_HN,Y,N,N,K,5,6.4,40,0,14.0,1.0,0.0,NA,NA,55,11,0,S,0.1541,0.02568333333,0.2876,0.04793333333,0.3119844418,NA
3,FL,S99,S97_S102,MY_FN_HN,Y,N,N,K,3,5.4,50,0,4.0,0.0,0.0,0.0,NA,54,18,1,S,0.1541,0.02568333333,0.2876,0.04793333333,0.3119844418,NA
3,FL,S100,S97_S102,MY_FN_HN,Y,N,N,K,6,6.3,38,0,4.0,0.0,0.0,NA,NA,42,7,0,S,0.1541,0.02568333333,0.2876,0.04793333333,0.3119844418,NA
3,FL,S101,S97_S102,MY_FN_HN,Y,N,N,K,6,6.8,3,0,7.0,5.0,1.0,NA,NA,16,2.666666667,1,S,0.1541,0.02568333333,0.2876,0.04793333333,0.3119844418,NA
3,FL,S102,S97_S102,MY_FN_HN,Y,N,N,K,5,8.1,1,0,0.0,0.0,0.0,NA,NA,1,0.2,0,S,0.1541,0.02568333333,0.2876,0.04793333333,0.3119844418,NA
3,FL,S103,S103_S108,MY_FN_HN,Y,N,N,K,4,8.6,5,0,2.0,0.0,0.0,NA,NA,7,1.75,1,S,0.1262,0.02103333333,0.2064,0.0344,0.2459740418,NA
3,FL,S104,S103_S108,MY_FN_HN,Y,N,N,K,5,9.2,9,41,6.0,0.0,0.0,NA,NA,56,11.2,0,S,0.1262,0.02103333333,0.2064,0.0344,0.2459740418,NA
3,FL,S105,S103_S108,MY_FN_HN,Y,N,N,K,5,9.7,2,0,0.0,1.0,0.0,NA,NA,3,0.6,1,S,0.1262,0.02103333333,0.2064,0.0344,0.2459740418,NA
3,FL,S106,S103_S108,MY_FN_HN,Y,N,N,K,6,7.6,1,14,13.0,1.0,1.0,NA,NA,30,5,0,S,0.1262,0.02103333333,0.2064,0.0344,0.2459740418,NA
3,FL,S107,S103_S108,MY_FN_HN,Y,N,N,K,5,5,4,0,0.0,0.0,0.0,NA,NA,4,0.8,1,S,0.1262,0.02103333333,0.2064,0.0344,0.2459740418,NA
